,1-Gram,Occurrence,2-Gram,Occurrence,3-Gram,Occurrence
0,dress,10055,true size,1246,fit true size,460
1,love,9921,fit perfectli,1038,run true size,195
2,fit,9797,look great,907,receiv mani compliment,170
3,size,9127,love dress,792,love love love,139
4,wear,7049,look like,676,small fit perfectli,138
5,look,6942,5 4,622,fit like glove,130
6,top,6662,love top,602,usual wear size,109
7,color,6239,usual wear,592,order usual size,93
8,like,5917,fit well,572,run littl big,89
9,great,5587,fit great,559,look great jean,88
10,5,4679,usual size,558,run littl larg,85
11,order,4017,well made,531,look forward wear,83
12,small,3839,5 3,488,everi time wear,81
13,would,3761,fit true,471,xs fit perfectli,79
14,perfect,3649,run larg,469,medium fit perfectli,72
15,fabric,3626,size small,455,got mani compliment,70
16,littl,3414,fit perfect,447,run bit larg,69
17,nice,3338,love love,444,size small fit,67
18,flatter,3194,5 5,444,usual size small,67
19,comfort,3114,fit like,423,usual wear small,64
