,1-Gram,Occurrence,2-Gram,Occurrence,3-Gram,Occurrence
0,look,2412,look like,479,realli want love,72
1,dress,2132,go back,273,want love dress,67
2,like,1958,want love,254,realli want like,42
3,fit,1715,realli want,162,fit true size,40
4,top,1713,love dress,136,made look like,30
5,size,1594,made look,136,want love top,29
6,love,1474,5 4,113,make look like,28
7,would,1348,make look,111,look like matern,28
8,fabric,1267,felt like,109,sadli go back,28
9,color,1061,usual wear,104,look like wear,27
10,back,1039,true size,104,order usual size,26
11,wear,1026,run small,99,way much fabric,25
12,order,997,love color,97,like matern top,24
13,small,914,fit well,97,usual wear size,24
14,return,901,feel like,96,one go back,21
15,5,871,size small,95,look noth like,20
16,realli,869,look great,91,dress look like,19
17,tri,805,much fabric,90,first time wore,18
18,materi,750,5 5,88,would look good,17
19,shirt,732,look good,87,go back love,17
