Num of Topics,CV Error - Unigram,CV Error - Bigram,CV Error - Trigram
5,0.1776,0.1776,0.1776
10,0.1776,0.1776,0.1776
15,0.1776,0.1776,0.1776
20,0.1777,0.1776,0.1776
25,0.178,0.1776,0.1776
30,0.1778,0.1776,0.1776
35,0.1778,0.1776,0.1776
40,0.1797,0.1776,0.1776
45,0.1779,0.1776,0.1776
50,0.1775,0.1776,0.1776
55,0.1778,0.1776,0.1776
60,0.1793,0.1776,0.1776
65,0.1784,0.1776,0.1779
70,0.1777,0.1776,0.1776
75,0.1784,0.1781,0.1778
80,0.1782,0.1776,0.1772
85,0.1769,0.1776,0.1776
90,0.1766,0.1777,0.1776
95,0.177,0.1782,0.1779
100,0.1783,0.1779,0.1777
